"blue";"blup"
"C495";0;-0.122887791158415
"ELAX_100";0.00102616092414914;-0.201812358560094
"ELAX_101";0.71134660469559;-0.004097993173928
"ELAX_104";2.71269834272173;0.497747392879257
"ELAX_114";-0.931834813507047;-0.371180504980271
"ELAX_117";-0.461245443286845;-0.255987619467867
"ELAX_118";-1.50371929156153;-0.672377156229337
"ELAX_120";-1.46867963453389;-0.611452266730469
"ELAX_122";-0.735929082452096;-0.212824283780929
"ELAX_124";0.408350516971718;-0.259794404376288
"ELAX_13";0.112636210435557;-0.268973303951701
"ELAX_130";2.531767072324;0.826838787634721
"ELAX_131";0.28969630741633;-0.0517101117373065
"ELAX_143";-1.59208220800013;-0.619238935727254
"ELAX_145";-1.01611045526996;-0.421985783205002
"ELAX_146";-0.745557353898575;-0.417967283593436
"ELAX_148";-0.113997681086354;-0.176728262105213
"ELAX_153";0.411822559891218;-0.275670070300762
"ELAX_16";-0.348628315317025;-0.479931176081905
"ELAX_165";0.390647637105598;-0.045674681130707
"ELAX_176";0.0399253500296377;-0.213008722301991
"ELAX_179";0.799582452099533;0.127555559507986
"ELAX_182";0.755511323159096;0.0732615329931712
"ELAX_184";-0.469254509109927;-0.211908145449892
"ELAX_185";-0.612119784074463;-0.303018741177511
"ELAX_187";-0.555762576542833;-0.391477610127155
"ELAX_188";-0.611582793461729;-0.417454840215533
"ELAX_192";-0.0875076282805029;-0.165529603032479
"ELAX_194";0.316975860311892;0.0251673510475744
"ELAX_195";-0.421278602537718;-0.23126424058729
"ELAX_197";2.40587672247399;0.630310937344518
"ELAX_198";5.15803742067076;1.35107673567562
"ELAX_199";-0.0523656747526212;-0.242180745549071
"ELAX_201";0.865837903141532;0.0586968135098644
"ELAX_202";-0.47823831034433;-0.426552914780503
"ELAX_207";-0.15838097401842;-0.358105912053668
"ELAX_212";0.105420379005261;-0.00813149023496614
"ELAX_222";0.698732322588629;0.0218503879722164
"ELAX_227";10.5995274940079;3.37054756244889
"ELAX_229";0.753086288849125;0.134144760008316
"ELAX_230";-0.409997387025614;-0.31915962176244
"ELAX_233";0.786373707129769;0.111807947837564
"ELAX_235";-0.0381919087458886;-0.1541541018665
"ELAX_237";2.82838096860033;0.809495701400718
"ELAX_239";0.111991868679346;-0.202167424286586
"ELAX_240";0.458994802643675;0.0287615369295245
"ELAX_241";1.05760396640618;0.017616589578161
"ELAX_243";0.1595277635041;-0.21517698396309
"ELAX_244";0.380851578434351;0.00939384033195365
"ELAX_250";1.54920727258411;0.202655782621914
"ELAX_251";-0.212637744631993;-0.328497711887603
"ELAX_252";1.95268911031029;0.46713581569591
"ELAX_261";-0.171138552287931;-0.140104307048977
"ELAX_262";0.334960940501495;0.000393760829316686
"ELAX_265";1.04871098674557;0.282159102910739
"ELAX_268";2.04158733368971;0.446533265257187
"ELAX_27";0.7538379684667;0.0452461587298644
"ELAX_278";-0.922348200903019;-0.542551143903999
"ELAX_279";0.167745997544361;-0.147021581869366
"ELAX_28";0.308541981390873;-0.130495861158286
"ELAX_288";3.52235287519074;1.06660405182641
"ELAX_29";0.117991152567424;-0.0835041054813171
"ELAX_292";0.682793328554437;0.163287486957546
"ELAX_295";0.461122002957068;-0.123317607773686
"ELAX_298";1.5364942258438;0.238639930353827
"ELAX_3";0.391975493184763;0.008985000146556
"ELAX_303";3.39107111610646;0.932416652032064
"ELAX_305";1.46481933030252;0.279941052805252
"ELAX_309";0.459745099490311;-0.0240411779741477
"ELAX_31";-1.50494923685251;-0.645979562563096
"ELAX_311";1.0642658932556;0.213508313919947
"ELAX_315";1.55386739419517;0.157823072464892
"ELAX_316";-0.213798624328779;-0.271486918119531
"ELAX_329";0.659339815104955;-0.119706438357252
"ELAX_331";0.351949930633466;-0.0553180563013378
"ELAX_335";-0.689470491892949;-0.435822011814675
"ELAX_336";-0.295325089479964;-0.31582065259002
"ELAX_341";-0.0911772346675748;-0.111630032178473
"ELAX_344";0.50159470058675;-0.13333343710799
"ELAX_345";-0.0257765183105039;-0.338599680053751
"ELAX_346";0.361610003640379;0.0297634309475066
"ELAX_348";-1.57004847829982;-0.64185662149693
"ELAX_35";-1.41132540007593;-0.602966141139744
"ELAX_350";-0.47121571070462;-0.471735881850407
"ELAX_352";2.24841406513295;0.504223178074609
"ELAX_353";-1.36454787742366;-0.567991226162112
"ELAX_356";1.73436215216099;0.481606656412977
"ELAX_366";-1.87772499552467;-0.714156103095605
"ELAX_367";-0.236622207717476;-0.230079463122848
"ELAX_368";-0.0180851220863591;-0.271607862670745
"ELAX_370";-1.11976021398201;-0.55166712352125
"ELAX_371";-0.413305141095726;-0.320493602986806
"ELAX_372";0.520341133895193;0.0192964919592834
"ELAX_373";-1.51469171756758;-0.637094378484723
"ELAX_376";-1.25706857463498;-0.461739165612914
"ELAX_377";-0.747943516144622;-0.555678102814495
"ELAX_38";-0.24061364579502;-0.388815620824839
"ELAX_383";-0.041739858752492;-0.0530537120461716
"ELAX_385";1.60758374061311;0.314445965549762
"ELAX_387";0.0609563182069138;-0.236525494982568
"ELAX_388";-0.190643023115322;-0.355857348301537
"ELAX_394";0.113635420006801;-0.232069278122092
"ELAX_395";1.13364055533921;0.156065656852172
"ELAX_399";-0.604982989876152;-0.473199776510512
"ELAX_40";-0.531237449221648;-0.314216131052986
"ELAX_401";-0.532767099255621;-0.270398552336898
"ELAX_402";0.911087377530592;0.160362894704475
"ELAX_407";-0.0574164571098392;-0.208176937976719
"ELAX_41";-0.545538581917756;-0.375674070149963
"ELAX_410";0.500832305897076;0.00408094938767202
"ELAX_412";-0.32552357171468;-0.197454960681893
"ELAX_415";0.259588913338706;-0.044054464758895
"ELAX_416";-0.273158458650465;-0.255410949411566
"ELAX_423";0.784953205770289;-0.0192670862438964
"ELAX_426";-0.63240391908295;-0.618235284969463
"ELAX_427";5.92153371809663;1.69780689345861
"ELAX_428";3.16561621554199;0.995328491888627
"ELAX_435";6.67200548734036;2.98435118875877
"ELAX_436";-0.929721697993791;-0.406147424303783
"ELAX_441";-0.626437387797676;-0.352634143396762
"ELAX_444";-2.30519024397417;-0.496697486360697
"ELAX_447";-0.840076123581064;-0.487806307564977
"ELAX_451";4.8216349772235;1.31949775943189
"ELAX_453";1.83551918201149;0.240505053729026
"ELAX_459";-0.857713753812143;-0.358884759929469
"ELAX_460";4.78753983477728;1.51624491665165
"ELAX_461";2.30196947601122;0.449855280690952
"ELAX_462";-0.953587372264756;-0.563028037284086
"ELAX_464";-0.3448728219371;-0.469854219152355
"ELAX_465";-0.889090045920396;-0.408804406558991
"ELAX_469";0.399928830677409;0.0195231385189078
"ELAX_470";-0.0308419296457667;-0.253566634232776
"ELAX_474";0.777527830690267;0.0821680286766931
"ELAX_476";0.498006573900761;-0.091005328833021
"ELAX_480";0.0802606769153157;-0.117483795672703
"ELAX_482";2.74377858670969;0.635553436496104
"ELAX_483";3.12850631685811;0.574246922274416
"ELAX_485";-0.717822140724329;-0.408341223988623
"ELAX_486";-0.651380528195264;-0.477992004885739
"ELAX_488";1.6937001166896;0.49006210435656
"ELAX_489";1.37859031409049;0.0725766450395624
"ELAX_49";4.91160033752641;1.44795707423209
"ELAX_504";0.155571989174671;0.00976717925789641
"ELAX_51";-0.534929339915324;-0.332830416693987
"ELAX_59";-0.335316781472862;-0.117246005758293
"ELAX_6";-1.05019360133254;-0.542741449583267
"ELAX_65";-0.290430455292063;-0.218306521876655
"ELAX_68";3.33960223157295;0.840185682784491
"ELAX_69";0.971637465347166;0.00916391286671918
"ELAX_70";-0.209736758669611;-0.330755006004782
"ELAX_72";1.52468559221905;0.223563501552032
"ELAX_73";-0.13552960941558;-0.426416665898946
"ELAX_74";-1.38472340641494;-0.551309539919587
"ELAX_77";-0.0788528485293166;-0.302190396679891
"ELAX_85";-0.94247529685647;-0.4078406369424
"ELAX_89";-1.19938821515421;-0.566241297286872
"ELAX_9";-0.927867335649109;-0.493106572405786
"ELAX_92";0.253509332879183;-0.193543038611284
"ELAX_94";7.80575347402467;2.44128238782481
"ELAX_96";0.900512343358621;0.0366555333594132
"ELAX_99";3.0774762624513;0.795007908064254
"GQAX_10";-0.533047987135345;-0.298366054223701
"GQAX_112";0.872132546510507;0.126769787397535
"GQAX_116";0.890359956989279;0.251479928852444
"GQAX_119";0.857250497911442;0.0692583277595007
"GQAX_126";-0.539627327804426;-0.336161710417688
"GQAX_138";0.266364745414443;-0.181362743383065
"GQAX_139";-1.00202838797822;-0.563728329978568
"GQAX_140";-0.226408447251593;-0.280888074389503
"GQAX_149";-0.961713740174007;-0.319480163117717
"GQAX_166";0.208402912000546;-0.0146556919211558
"GQAX_175";1.36830019438214;0.282513929476493
"GQAX_189";1.42692895916217;0.389920989678427
"GQAX_4";2.36935678264315;0.604986284122238
"GQAX_5";-0.769929544633021;-0.371577292092525
"GQAX_67";0.735103153686232;0.0759501776467165
"GQAX_75";-0.718324971534472;-0.503315084189567
"GQAX_76";7.13768815783073;2.26637618425764
"GQAX_82";0.743662561517207;0.0915238536206078
"GQAX_83";-0.49015522683933;-0.175462791064327
"GQAX_91";1.00580225841615;-0.165858522458877
"GQAX_95";1.20989748514884;0.168499507908508
"GQAX_ixos";1.36244203335771;0.0862911485127303
"MariaB6R";2.07138646871947;0.367599221567366
